"","Hashtags","Count","Freq"
"1","china",1537220,0.197712216969229
"2","lockdown",1119456,0.143980775399426
"3","stayhome",1028393,0.132268549684259
"4","stayathome",767162,0.0986698714527183
"5","socialdistancing",665406,0.0855823469930308
"6","trump",590022,0.0758867030617728
"7","indiafightscorona",579124,0.0744850378866315
"8","breaking",561033,0.0721582325385419
"9","pandemic",555946,0.0715039592089453
"10","stayhomesavelives",520519,0.066947454147491
"11","chinesevirus",507782,0.0653092627971722
"12","hydroxychloroquine",487570,0.0627096613547098
"13","iran",472111,0.0607213752524425
"14","wuhan",455898,0.0586361121321851
"15","nhs",391785,0.0503901074181245
"16","india",390291,0.0501979540164305
"17","staysafe",387984,0.0499012352093971
"18","ppe",341783,0.0439590134479085
"19","who",329048,0.0423210793310592
"20","togetherathome",317758,0.0408689963959019
"21","worldhealthday",312418,0.0401821830324173
"22","quarantine",294495,0.0378769852957632
"23","taiwan",277928,0.0357461918514096
"24","cdnpoli",276604,0.0355759032946206
"25","sarscov2",270979,0.0348524341617366
"26","covid19pandemic",269446,0.0346552647073879
"27","watch",263887,0.0339402842789965
"28","health",260747,0.0335364277319288
"29","flattenthecurve",251409,0.032335404662974
"30","selfquarantine",226221,0.0290958063484706
"31","flatteningthecurve",225760,0.0290365140337578
"32","tablighijamaat",204742,0.026333247503099
"33","ccpvirus",188252,0.02421235754732
"34","stayhomestaysafe",181558,0.0233513971250044
"35","ccp",174907,0.0224959672222824
"36","maga",170762,0.0219628508568061
"37","usa",169322,0.0217776427587878
"38","hygiene",168356,0.0216533989930339
"39","mentalhealth",167204,0.0215052325146192
"40","nyc",165017,0.0212239477157539
"41","cdc",157084,0.0202036311591017
"42","italy",154002,0.0198072343826487
"43","fakenews",151888,0.019535338605419
"44","chinese",151195,0.0194462072082477
"45","qanon",150055,0.0192995841306499
"46","chinavirus",146885,0.0188918690815402
"47","pakistan",146002,0.0187783005047692
"48","vaccine",141528,0.0182028692335652
"49","auspol",140608,0.018084541837609
"50","hongkong",130579,0.0167946446049524
"51","healthcare",128669,0.0165489866416087
"52","takeresponsibility",127876,0.0164469935709639
"53","chinaliedpeopledied",124985,0.0160751625908452
"54","africa",124282,0.0159847450263266
"55","newyork",120449,0.0154917570820876
"56","quarantinelife",119178,0.0153282852122395
"57","wuhanvirus",116876,0.0150322094888797
"58","russia",116734,0.0150139459125473
"59","prevention",116439,0.0149760039758005
"60","inthistogether",113920,0.0146520184210032
"61","canada",109936,0.0141396093498193
"62","bt21",109457,0.0140780019338812
"63","trump2020",109063,0.0140273269403957
"64","covid19peru",108168,0.0139122149628079
"65","physicaldistancing",106865,0.0137446273574483
"66","strongertogether",106548,0.0137038558525373
"67","coronavirususa",105964,0.0136287436794521
"68","odisha",104413,0.0134292591238782
"69","borisjohnson",103181,0.0132708033066848
"70","covid19india",103122,0.0132632149193354
"71","healthforall",102987,0.0132458516601462
"72","billgates",102707,0.0132098389744204
"73","covidiots",100171,0.0128836669351327
"74","covid19uk",99699,0.0128229598363378
"75","turkey",97746,0.0125717713534005
"76","trumppressconf",96456,0.0124058557655924
"77","news",95674,0.0123052774790297
"78","kag",95663,0.0123038626949476
"79","germany",94247,0.0121217413985629
"80","worldhealthorganization",94089,0.0121014199544748
"81","air7hd",93642,0.0120439282740483
"82","coronavirusuk",90341,0.0116193644326883
"83","charleslieber",89315,0.0114874036628503
"84","lockdownextension",89270,0.0114816159097872
"85","earthday",89137,0.0114645098840674
"86","dyk",88888,0.0114324843171184
"87","fauci",88821,0.0114238669958912
"88","update",88237,0.011348754822806
"89","nigeria",87278,0.0112254113741952
"90","wwg1wga",87130,0.0112063760974544
"91","trumpownseverydeath",86702,0.0111513281349879
"92","florida",86656,0.0111454117651901
"93","climatechange",86271,0.0110958943223171
"94","ramadan",84454,0.0108621977153038
"95","economy",84331,0.0108463778569314
"96","easter",83775,0.0107748669524188
"97","france",83508,0.0107405262842445
"98","spain",82960,0.0106700443136098
"99","tablighijamat",82526,0.0106142246507348
"100","wetmarkets",81235,0.010448180446192
"101","healthcareheroes",80251,0.0103216215792129
"102","lockdown2",79995,0.0102886956951207
"103","thailand",77399,0.00995480665174884
"104","medtwitter",76776,0.00987467842600898
"105","coronawarriors",76231,0.00980458230557844
"106","breakingnews",76177,0.00979763700190276
"107","rentrelief",75971,0.00977114195454736
"108","ohio",74811,0.00962194654225484
"109","hydroxycloroquine",73662,0.00947416591404441
